latitude,longitude,altitude,geometry,Name,ADDRESSBLOCKHOUSENUMBER,,EST_ORIGINAL_COMPLETION_DATE</th,STATUS,APPROXIMATE_GFA,Type,NAME,HUP_COMPLETION_DATE
1.281595643,103.8489737,0,Point,kml_1,5,EST_ORIGINAL_COMPLETION_DATE</th,24/5/2017,Existing,1817.18,Interim Centre</td,Market Street Interim Hawker Centre,
1.443881817,103.7772032,0,Point,kml_2,20/21,EST_ORIGINAL_COMPLETION_DATE</th,15/9/1975,Existing,,HUP Standard Upgrading</td,Marsiling Lane Blk 20/21,2/3/2009
1.433538857,103.7797849,0,Point,kml_3,4,EST_ORIGINAL_COMPLETION_DATE</th,8/11/2017,Existing (new),3661,New Replacement Centre</td,Marsiling Mall Hawker Centre,
1.280112235,103.8448279,0,Point,kml_4,1,EST_ORIGINAL_COMPLETION_DATE</th,1935,Existing,3365.392,Upgraded prior to HUP</td,Maxwell Food Centre (Kim Hua Market),
1.293236221,103.8029039,0,Point,kml_5,159,EST_ORIGINAL_COMPLETION_DATE</th,12/10/1970,Existing,,HUP Reconfiguration</td,Mei Chin Road Blk 159 (Mei Chin Road Market),8/5/2009
1.284991022,103.8425788,0,Point,kml_6,32,EST_ORIGINAL_COMPLETION_DATE</th,1965,Existing,,HUP Standard Upgrading</td,New Market Road Blk 32 (People's Park Food Centre),27/12/2005
1.324738845,103.9305605,0,Point,kml_7,208B,EST_ORIGINAL_COMPLETION_DATE</th,15/11/2014,Existing,,New Replacement Centre</td,New Upper Changi Road Blk 208B,
1.324187828,103.9411324,0,Point,kml_8,58,EST_ORIGINAL_COMPLETION_DATE</th,27/2/1978,Existing,,HUP Standard Upgrading</td,New Upper Changi Road Blk 58,16/9/2008
1.311892357,103.8395627,0,Point,kml_9,500,EST_ORIGINAL_COMPLETION_DATE</th,1971,Existing,3252.75,HUP Standard Upgrading</td,Newton Food Centre,12/6/2006
1.305765378,103.863891,0,Point,kml_10,861,EST_ORIGINAL_COMPLETION_DATE</th,1973,Existing,3004.63,HUP Reconfiguration</td,North Bridge Road Market,17/10/2005
