LANDYADDRE,LANDXADDRE,ADDRESSBLO,PHOTOURL,NAME,HYPERLINK,DESCRIPTIO,ADDRESSUNI,ADDRESSTYP,ADDRESSSTR,ADDRESSBUI,ADDRESSPOS,ADDRESSFLO,INC_CRC,FMEL_UPD_D
33207.0025,35236.37429,Blk 1,https://roots.sg/~/media/Roots/Images/historic-sites/027-geylang-serai/027-geylang-serai.png,Geylang Serai,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/geylang-serai,Geylang Serai is a social centre for the Malay community in Singapore. It was originally filled with lemongrass (â€œseraiâ€� in Malay) plantations between the 1890s to early 1900s.,,,Geylang Serai,Main entrance of Geylanf Serai Market and Food Centre,402001,,C39637443263CC37,2021/03/05
33688.04308,29286.99274,11,https://roots.sg/~/media/Roots/Images/historic-sites/088-tan-tock-seng-hospital/088-tan-tock-seng-hospital.png,Tan Tock Seng Hospital,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/tan-tock-seng-hospital,"This hospital was founded in 1844 by Tan Tock Seng, a philanthropic Hokkien Chinese pioneer, for the poor and destitute. Here, several firsts in Singapore's medical history were achieved.",,,Jalan Tan Tock Seng,Sinaran Drive entrance of Tan Tock Seng Hospital,308433,,BBE3B031C524004C,2021/03/05
27216.31193,24876.06194,,https://roots.sg/~/media/Nhb/Images/Places/Historic%20Sites/Batu%20Berlayar-23-Batu-Berlayar.jpg,Batu Berlayar,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/batu-berlayar,"Batu Berlayar (â€œSailing Rockâ€�), together with a rock on the opposite shore of Tanjong Rimau, formed a gateway to the west of Keppel Harbour. It was blown up in 1848 to widen the harbourâ€™s entrance.",,,Labrador Villa Road,"Batu Berlayar Point, near Car Park B, Labrador Nature Reserve",119187,,68912A29A2597F31,2021/03/05
29343.7756,28624.68173,,https://roots.sg/~/media/Roots/Images/historic-sites/056-outram-road-prison/056-outram-road-prison.png,Outram Road Prison,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/outram-road-prison,"Outram Road Prison was the main jail in Singapore until Changi Prison opened in 1937. Thereafter, it became a remand prison, housing opium addicts, juvenile delinquents, and political detainees.",,,,"Outram Park MRT Station, Exit B",,,440AB597E635B4ED,2021/03/05
31453.6417,30191.5892,178,https://roots.sg/~/media/Roots/Images/historic-sites/046-kwan-im-thong-hood-cho-temple/046-kwan-im-thong-hood-cho-temple.png,Kwan Im Thong Hood Cho Temple,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/kwan-im-thong-hood-cho-temple,"This temple was built in 1884, showcasing a fine example of Chinese temple architecture and traditional craftsmanship. The temple played an important role in providing refuge for the sick, the wounded and the homeless during the Japanese Occupation.",,,Waterloo Street,,187964,,B05024F7D0EDFD9D,2021/03/05
41502.26691,45498.70638,,https://roots.sg/~/media/Roots/Images/historic-sites/064-pulau-sejahat/064-pulau-sejahat.png,Pulau Sejahat,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/pulau-sejahat,"Pulau Sejahat was designated as a British defence outpost. The military encampment on the island included gun emplacements, water tanks and observation towers.",,,,"Changi Beach Park Lamp Post A2-13 (113), near Car Park 2",,,C92BC1A560364DE5,2021/03/05
31425.77675,30180.34903,152,https://roots.sg/~/media/Roots/Images/historic-sites/084-sri-krishnan-temple/084-sri-krishnan-temple.png,Sri Krishnan Temple,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/sri-krishnan-temple,This temple was built in 1870 and is one of the oldest Hindu temples in Singapore.,,,Waterloo Street,,187961,,AFEB564942DB0285,2021/03/05
31385.89238,24070.57688,Between Blocks 46-2 and 46-3,https://roots.sg/~/media/Nhb/Images/Places/Historic%20Sites/queenstown-48-Queenstown.jpg,Queenstown Historic Marker,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/queenstown,Queenstown was built in 1960s to meet housing shortage in Singapore after the Second World War. It is Singaporeâ€™s first satellite town â€“ an estate with amenities to meet residentsâ€™ needs.,,,Commonwealth Drive,,140462,,C9D6485E06070A45,2021/03/05
32001.96956,35714.28045,19,https://roots.sg/~/media/Roots/Images/historic-sites/085-sri-senpaga-vinyagar-temple/085-sri-senpaga-vinayagar-temple.png,Sri Senpaga Vinayagar Temple,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/sri-senpaga-vinayagar-temple,"This temple was built by Ceylon Tamils. It began in an attap shed under a champak (â€œsenpagaâ€� in Tamil) tree in 1875, located near the discovery site of a statue of Vinayagar (the deity Ganesha).",,,Ceylon Road,,429613,,E8A9DCD705EC1738,2021/03/05
29753.15726,29897.23597,80,https://roots.sg/~/media/Roots/Images/historic-sites/093-united-overseas-bank/093-united-overseas-bank.png,United Overseas Bank,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/united-overseas-bank,"On 1 October 1935, UOB opened for business at the Bonham Building in Raffles Place. Over the years, it grew to become one of Singaporeâ€™s leading banks.",,,Raffles Place,UOB Plaza One,48624,,7230C867D3A5311E,2021/03/05
36014.40412,27904.78333,181,https://roots.sg/~/media/Roots/Images/historic-sites/050-macritchie-reservoir/050-macritchie-reservoir.png,MacRitchie Reservoir,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/macritchie-reservoir,"Singaporeâ€™s first reservoir was officially opened in 1878 as the Impounding Reservoir, to supply freshwater for the growing population. It has also been a popular place for recreation over the years.",,,Lornie Road,"At the foot of Hilltop, Macritchie Reservoir Park",297732,,774E9CD52186B904,2021/03/05
39159.48712,27200.33229,,https://roots.sg/~/media/Roots/Images/historic-sites/049-lower-peirce-reservoir/049-lower-peirce-reservoir.png,Lower Peirce Reservoir,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/lower-peirce-reservoir,"This is Singaporeâ€™s second reservoir, constructed after water demand outgrew the capacity of MacRitchie Reservoir. It was known as Kalang River Reservoir when it opened in 1912.",,,Old Upper Thomson Road,"Beside Jetty, Lower Peirce Reservoir Park",,,6535E46F998C855F,2021/03/05
31091.06332,29693.45285,1,https://roots.sg/~/media/Roots/Images/historic-sites/043-kempeitai-east-district-branch/015-ymca-kempeitai-east-district-branch.png,Kempeitai East District Branch,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/kempeitai-east-district-branch,"The original building, the YMCA, was used by the East Branch of the Kempeitai (Japanese Military Police) during the Japanese Occupation. Local anti-Japanese suspects were imprisoned and tortured for information here. The building was pulled down in 1981.",,,Orchard Road,"Junction of Fort Canning Road and Orchard Road, beside YMCA",238824,,E98BCFD233C142ED,2021/03/05
32158.87088,29753.39991,,https://roots.sg/~/media/Roots/Images/historic-sites/041-kandang-kerbau-hospital/041-kandang-kerbau-hospital.png,Kandang Kerbau Hospital,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/kandang-kerbau-hospital,"Kandang Kerbau Hospital, the birthplace of over 1.2 million Singaporeans, was the largest maternity hospital in the world from the early 1950s to the early 1970s. It was named after the district where it was located. The district around the crossroads fo",,,,Junction of Bukit Timah Road and Tekka Lane,,,BEEA037FE82D7668,2021/03/05
29905.03981,30038.46395,,https://roots.sg/~/media/Roots/Images/historic-sites/018-deng-xiao-ping/018-deng-xiao-ping.png,Deng Xiaoping Historic Marker,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/deng-xiaoping,"Originally known as Deng Xiansheng and his school name Deng Xixian, Deng Xiaoping was born on 22 August 1904 in Guang'an County, Sichuan Province. In 1920, Deng left forÂ studies in France. His six-year stay in France proved to be a turning point in hi",,,,"Beside Anderson Bridge, on the grounds of the Asian Civilisations Museum",,,C76E2534DCAD5980,2021/03/05
31392.99923,30287.97734,Block 269,https://roots.sg/~/media/Roots/Images/historic-sites/011-central-sikh-temple/011-central-sikh-temple.png,Central Sikh Temple,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/central-sikh-temple,"Also known as the Wadda Gurdwara, this Sikh temple was the first set up in a bungalow at Queen Street in 1912. The temple is now relocated at Towner Road.",,,Queen Street,In front of #01-234,180269,,EAF7A7409038A0F5,2021/03/05
37003.4873,20595.67033,,https://roots.sg/~/media/Roots/Images/historic-sites/009-bukit-batok-memorial/009-bukit-batok-memorial.png,Bukit Batok Memorials,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/bukit-batok-memorials,"Two memorials, one for the Japanese soldiers and the other for Allied Soldiers sat on top on this hill-top. The former was Syonan Chureito, built by 500 Allied Prisoners of War while the latter was a wooden cross that stood behind.",,,Lorong Sesuai End,Bukit Batok Nature Park,,,6DF3F0447680EBA0,2021/03/05
36756.86231,21734.81653,,https://roots.sg/~/media/Roots/Images/historic-sites/010-bukit-timah-battle/010-bukit-timah-battle.png,Battle of Bukit Timah,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/bukit-timah-battle,One of the fiercest military encounters during WWII took place here as the Bukit Timah area held strategic and tactical importance to the Japanese and the British. This site marks Percival's final defence of southern Singapore against the Japanese invade,,,,"Bukit Timah Nature Reserve, near visitor centre, Bukit Timah Hill",,,35A9C35EAD6A6F09,2021/03/05
33393.25121,30408.36718,,https://roots.sg/~/media/Roots/Images/historic-sites/004-balestier-plain/004-balestier-plain.png,Balestier Plain,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/balestier-plain,"Balestier Road, from which Balestier Plain takes its name, was named after Joseph Balestier, a keen botanist and agriculturist who arrived in Singapore in 1834. He was appointed as the first U.S Consul in Singapore in 1836 by then President of the United",,,"Balestier Road, Beside Bus Stop No. 50239, Near Ceylon Sports Club",,,,5493CC002368EA74,2021/03/05
29176.45878,29483.34518,70,https://roots.sg/~/media/Roots/Images/historic-sites/003-anglo-chinese-school/003-ango-chinese-school.png,Anglo-Chinese School,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/anglo-chinese-school,"The Anglo-Chinese School (ACS) was founded by Rev. William Fitzjames Oldham in 1886 at a shophouse in Amoy Street. Starting with 13 students, the school aimed to provide an education for the many boys Bishop Fitzjames saw wandering aimlessly in the stree",,,Amoy Street,,69889,,10CD73A186BEC9B4,2021/03/05
29825.18484,24549.36849,378,https://roots.sg/~/media/Roots/Images/historic-sites/002-alexandra-hospital/002-alexandra-hospital.png,Alexandra Hospital,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/alexandra-hospital,"Opened in 1940, the Alexandra Hospital (former British Military Hospital) served as the principal hospital for Britainâ€™s Far East Command during World War II. The hospital was the most-advanced and best-equipped medical institution in Singapore an",,,Alexandra Road,Garden Valley at Alexandra Hospital,159964,,735F8BF172CDD432,2021/03/05
34576.16502,25866.71756,,https://roots.sg/~/media/Roots/Images/historic-sites/001-adam-park-battle/001-adam-park-battle.png,Adam Park,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/adam-park-battle,"Adam park estate was the site of intense fighting between British forces and the invading Japanese army in February 1942, in the last days before the British surrendered Singapore.",,,,"Junction of Adam Road and Adam Park, near 7 Adam Park",,,B31F88FD8F2FAFEA,2021/03/05
41511.22239,45481.79011,,https://roots.sg/~/media/Roots/Images/historic-sites/012-changi-beach-massacre/012-changi-beach-massacre.png,Changi Beach Massacre,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/changi-beach-massacre,Changi Beach was a massacre site of Sook Ching. The Hojo Kempei (Japanese auxiliary military police) machine-gunned many male civilians on this shore on 20 February 1942.,,,,"Changi Beach Park Lamp Post A2-13 (113), Near Car Park 2",,,403FF9993C32FA6A,2021/03/05
29751.33,29759.56,65,https://roots.sg/~/media/Roots/Images/historic-sites/057-oversea-chinese-banking-corporation/057-oversea-chinese-banking-corporation.png,Oversea-Chinese Banking Corporation,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/oversea-chinese-banking-coporation,OCBC Bank was formed in 1932 through the merger of three Hokkien banks. It was originally located at China Building which featured a prominent Chinese-style roof and classical elements on its faÃ§ade.,,,Chulia Street,North Tower OCBC Headquarters,49513,,C423145212EC607A,2021/03/05
29488.24787,29733.75015,76,https://roots.sg/~/media/Roots/Images/historic-sites/024-fuk-tak-chi/024-fuk-tak-chi.png,Fuk Tak Chi,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/fuk-tak-chi,"This building housed Fuk Tak Chi (â€œFu De Ciâ€� in Mandarin), one of the Singaporeâ€™s oldest Chinese temples, from the 1820s to 1994. It was later converted into a museum.",,,Telok Ayer Street,Far East Square,48464,,ABB4B83F059D3AEE,2021/03/05
35833.95672,25571.15922,,https://roots.sg/~/media/Nhb/Images/Places/Historic%20Sites/sime_pillbox-Sime-Road-Machine-Gun-Pillbox.jpg,Sime Road Machine-Gun Pillbox,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/sime-road-machine-gun-pillbox,This pillbox was located inland to provide fire cover and defence for key installations in Bukit Timah during the Second World War.,,,Sime Road,"Lamp Post 32, near Singapore Island Country Club (Island Location) Entrance",,,FCE70A710390BCD6,2021/03/05
30935.90074,30555.98193,,https://roots.sg/~/media/Roots/Images/historic-sites/061-peoples-defence-force/061peoplesdefenceforce.png,Peoplesâ€™ Defence Force Headquarters,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/peoples-defence-force-headquarters,"In the early days of the SAF and Singaporeâ€™s independence, the Singapore Infantry Regiment and the PDF shouldered the duties of national defence. The Beach Road Army Camp played a significant role in the transformation.",,,Beach Road,"Former Beach Road Camp, South Beach Development",,,4A91531E18037662,2021/03/05
30263.73,26931.2,,https://roots.sg/~/media/Roots/Images/historic-sites/025-gan-eng-seng-school/025-gan-eng-seng-school.png,Gan Eng Seng School,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/gan-eng-seng-school,"In 1885, Gan Eng Seng founded a free school for poor boys in Singapore. Initially named the Anglo-Chinese Free School, it was among the earliest schools to offer a bilingual education. The school moved to its first new building about 50 metres behind Tel",,,Junction of Telok Ayer Street and Cecil Street,Landscape Plaza,,,5A942426AA3BF6AE,2021/03/05
26138.63329,28446.55458,27,https://roots.sg/~/media/Roots/Images/historic-sites/076-sentosa-beach/076-sentosa-beach.png,Sentosa Beach Massacre Site,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/sentosa-beach,"Surrendered British Gunners awaiting Japanese internment buried some 300 bullet-ridden corpses washed ashore on Pulau Blakang Mati, now known as Sentosa.",,,Bukit Manis Road,"Former Berhala Reping Artillery Post, Serapong Course Road, Course 4, Sentosa Golf Club",99892,,842CED2BDBB1E953,2021/03/05
29504.64593,29673.09594,130,https://roots.sg/~/media/Roots/Images/historic-sites/015-chui-eng-free-school/015-chui-eng-free-school.png,Chui Eng Free School,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/chui-eng-free-school,Chui Eng Free School was established here in 1854 by the Singapore Hokkien Huay Kuan. It was the second-oldest private Chinese school and also one of the first free educational institutions in Singapore.,,,Amoy Street,Far East Square,49959,,A633330BED99345B,2021/03/05
30044.69101,29190.1987,10,https://roots.sg/~/media/Roots/Images/historic-sites/055-omar-kampong-malacca-mosque/055-omar-kampong-malacca-mosque.png,Omar Kampong Malacca Mosque,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/omar-kampong-malacca-mosque,"Established in 1820, Omar Kampong Malacca Mosque is Singaporeâ€™s oldest mosque. In the 1850s, the original timber structure made way for the current building to accommodate the mosqueâ€™s growing needs.",,,Keng Cheow Street,,59607,,51011449FCC6C1F4,2021/03/05
42531.59573,25032.92772,,https://roots.sg/~/media/Roots/Images/historic-sites/095-upper-seletar-reservoir/095-upper-seletar-reservoir.png,Upper Seletar Reservoir,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/upper-seletar-reservoir,Singaporeâ€™s third reservoir was constructed in 1920 to meet the increased demand for freshwater in Singapore. The iconic lookout tower was added to the reservoir in the 1960s.,,,,"Beside Lookout Tower, Upper Seletar Reservoir Park, Mandai Road Track 7",,,49E9DAC0BE334E3E,2021/03/05
32497.69621,30922.31506,100,https://roots.sg/~/media/Roots/Images/historic-sites/032-jalan-besar-stadium/032-jalan-besar-stadium.png,Jalan Besar Stadium,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/jalan-besar-stadium,"Jalan Besar Stadium was Singaporeâ€™s main football arena until the National Stadium opened. It also hosted various national events, such as Singapore Youth Festival and National Day Parade.",,,Tyrwhitt Road,North entrance of Jalan Besar Stadium,207542,,DC06E8F21F645501,2021/03/05
31053.10931,30680.44551,99,https://roots.sg/~/media/Roots/Images/historic-sites/006-beach-road-police-station/006-beach-road-police-station.png,Beach Road Police Station,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/beach-road-police-station,"In the early 1900s, Singapore grew rapidly and the crime rate rose with the city's expansion. Harold Fariburn - the Inspector - General of Police from 1925 to 1935 - realised that the Police needed a programme of modernisation and expansion. As a result,",,,Beach Road,,189701,,A8221E15CA353491,2021/03/05
29898.95243,28937.23348,5,https://roots.sg/~/media/Roots/Images/historic-sites/060-pearls-hill-school/060pearlshillschool.png,Pearl's Hill School,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/pearls-hill-school,Pearlâ€™s Hill School began in 1876 at Cross Street as the Singapore Chinese Branch School. It was among the first English elementary schools established by the colonial government.,,,Pearl's Hill Road,,168996,,2F02DCB2A41D7B79,2021/03/05
31024.69311,33876.23279,,https://roots.sg/~/media/Roots/Images/historic-sites/042-katong-park/042-katong-park.png,Katong Park,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/katong-park,"This is one of the oldest parks in Singapore. Built in the 1930s, it was a favourite place for families and couples, with facilities such as swimming bays which extended into the sea and food outlets.",,,Meyer Road,Beside Amphitheatre at Katong Park,,,E05A1C8D8A2435CC,2021/03/05
32493.08884,33390.51824,100,https://roots.sg/~/media/Roots/Images/historic-sites/079-singapore-badminton-hall/079-singapore-badminton-hall.png,Singapore Badminton Hall,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/singapore-badminton-hall,"Singapore Badminton Hall was built to host international badminton tournaments. In 1962, it was a vote-counting station for the Referendum on Singaporeâ€™s merger with Malaya, Sabah and Sarawak.",,,Guillemard Road,,399718,,8E7ED4729F4E9B99,2021/03/05
29598.41707,30212.08125,80,https://roots.sg/~/media/Roots/Images/historic-sites/016-clifford-pier/016-clifford-pier.png,Clifford Pier,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/clifford-pier,Clifford Pier was the landing point for sea passengers and immigrants who came to seek a new life in Singapore. It is also known as â€œRed Lantern Pierâ€� for the red lamps that hung here.,,,Collyer Quay,The Fullerton Bay Hotel,49326,,BEF3D4138483ED44,2021/03/05
30629.16598,27259.62565,491,https://roots.sg/~/media/Roots/Images/historic-sites/028-havelock-road/028-havelock-road.png,Havelock Road Camp / River Valley Road Camp,https://www.roots.gov.sg/places/places-landing/Places/historic-sites/havelock-road-camp-river-valley-road-camp,The area bounded by River Valley Road and Havelock Road was occupied by Prisoner-of-War (POW) camps during the Japanese Occupation. Five thousand POWs lived in dilapidated attap huts here.,,,River Valley Road,"Beside bus stop no. 13059, Valley Point Shopping Centre",248371,,7C9E0E5E2220AE38,2021/03/05
