ADDRESSBLO,ADDRESSBUI,ADDRESSSTR,ADDRESSTYP,DESCRIPTIO,LANDXADDRE,LANDYADDRE,NAME,ADDRESSPOS,ADDRESSFLO,HYPERLINK,PHOTOURL,INC_CRC,FMEL_UPD_D,ADDRESSUNI
278,Marine Parade Community Building,Marine Parade Road,,MPPL,36487.36,31889.39,Marine Parade Public Library,449282,1,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/324/Default.aspx?branch=Marine+Parade+Public+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/MarineParade/MAIN-MPPL-cropped.jpg,AFD4A92E28FAB9F6,2019/04/24,2
1,Compass One,Sengkang Square,,SKPL,34829.64,41471.67,Sengkang Public Library,545078,3,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/341/Default.aspx?branch=Sengkang+Public+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/Senkang/SKPL%20Main.JPG,991D1CCEFDA5DDF6,2019/04/24,28
1,West Mall,Bukit Batok Central Link,,BBPL,18648.02,36846.26,Bukit Batok Public Library,658713,3,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/286/Default.aspx?branch=Bukit+Batok+Public+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/BukitBatok/MAIN-BBPL-cropped.jpg,2559184B4E71B2D2,2019/04/24,1
60,,Jurong West Central 3,,JWPL,13665.24,35866.61,Jurong West Public Library,648346,1,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/302/Default.aspx?branch=Jurong+West+Public+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/JurongWest/MAIN-JWPL-cropped.jpg,D1BB0FDF8C695C1B,2019/04/24,3
50,,Geylang East Ave 1,,GEPL,33844.82,33301.73,Geylang East Public Library,389777,,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/328/Default.aspx?branch=Geylang+East+Public+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/Geylang/MAIN-GEPL-cropped.jpg,30D87253D8E26004,2019/04/24,
277,Orchard Gateway,Orchard Road,,OCPL,28706.75,31418.05,library@orchard,238858,3,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/337/Default.aspx?branch=library%40orchard,http://www.nlb.gov.sg/Portals/0/library/gallery/Orchard/OCPL_main.jpg,C407699EBC5E051F,2019/04/29,12
23,NEX,Serangoon Central,,SRPL,32333.4,36982.09,Serangoon Public Library,556083,4,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/342/Default.aspx?branch=Serangoon+Public+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/Serangoon/MAIN-SRPL-cropped.jpg,14A27BA632A157E6,2019/04/29,82-83
30,Sun Plaza,Sembawang Drive,,SBPL,26462.05,47759.75,Sembawang Public Library,757713,5,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/331/Default.aspx?branch=Sembawang+Public+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/Sembawang/SBPL_entrance.jpg,5981D9ABA61AAEEB,2019/04/24,1
1,Our Tampines Hub,Tampines Walk,,TRL,40379.44,37597.66,Tampines Regional Library,528523,2,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/335/Default.aspx?branch=Tampines+Regional+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/TampinesReg/Main_Entrance.jpg,31A4E3829D2154FF,2019/04/24,1
900,,South Woodlands Drive,,WRL,22837.38,46304.67,Woodlands Regional Library,730900,1,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/310/Default.aspx?branch=Woodlands+Regional+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/WoodlandsReg/MAIN-WRL-cropped.jpg,4B0F79234B61B0D3,2019/04/24,3
53,,Margaret Drive,,QUPL,24906.31,31230.58,Queenstown Public Library,149297,,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/309/Default.aspx?branch=Queenstown+Public+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/QueensTown/Main-QUPL_Cropped.jpg,A20D81A06AB5E734,2019/04/24,
100,,Victoria Street,,National Library Level 7-13,30333.63,31063.58,National Library Building,188064,,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/329/Default.aspx?branch=National+Library+%2f+Lee+Kong+Chian+Reference+Library,http://www.nlb.gov.sg/Portals/0/IMG/Managers/NL%20Visit%20Us%20Photo.jpg,6A4F1C180916BAC7,2019/04/24,
21,,Jurong East Central 1,,JRL,17530.35,35010.42,Jurong Regional Library,609732,,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/338/Default.aspx?branch=Jurong+Regional+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/JurongReg/MAIN-JRL-cropped.jpg,05997B48A04A4AFB,2019/04/24,
6,,Toa Payoh Central,,TPPL,29964.34,35090.96,Toa Payoh Public Library,319191,,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/319/Default.aspx?branch=Toa+Payoh+Public+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/ToaPayoh/MAIN-TPPL-cropped.jpg,2220835A54DC0E75,2019/04/24,
1,VivoCity,Harbourfront Walk,,HBPL,26699.31,27383.57,Harbour Front Public Library,98585,3,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/362/Default.aspx?branch=library%40harbourfront,http://www.nlb.gov.sg/Portals/0/library/gallery/harbourfront/main_library_harbourfront.jpg,11A10CC261890319,2019/04/24,5
100,,Victoria Street (Basement 1),,CTPL,30327.79,31087.66,Central Public Library,188064,,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/289/Default.aspx?branch=Central+Public+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/Central/MAIN-CTPL-cropped.jpg,079B4C978A2FD7D7,2019/04/24,
11,,Bedok North St. 1,,BEPL,38947.87,34357.48,Bedok Public Library,469662,2,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/330/Default.aspx?branch=Bedok+Public+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/Bedok/MAIN-BEPL-cropped.jpg,D837A37B18C409D4,2019/04/24,3
5,,Bishan Place,,BIPL,29727.41,36885.15,Bishan Public Library,579841,1,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/312/Default.aspx?branch=Bishan+Public+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/Bishan/MAIN-BIPL-cropped.jpg,DD6EBE6BCBDA2B6A,2019/04/24,1
930,Northpoint City (North Wing),Yishun Ave 2,,YIPL,28276.53,45716.19,Yishun Public Library,769098,4,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/320/Default.aspx?branch=Yishun+Public+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/Yishun/MAIN-YIPL-cropped.jpg,19593E1A8CD0A4F9,2019/04/24,1
4300,,Ang Mo Kio Avenue 6,,AMPL,29364.62,39642.82,Ang Mo Kio Public Library,569842,,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/332/Default.aspx?branch=Ang+Mo+Kio+Public+Library,http://www.nlb.gov.sg/Portals/0/library/gallery/AngMoKio/MAIN-PICTURE-of-AMPL-cropped.jpg,49A106793207FD9B,2019/04/24,
