X,Y,Name,TYP_CD,RACK_CNT</th
103.8173341,1.289357425,kml_1,Single,12
103.953243,1.343594233,kml_2,Single,56
103.952924,1.343748047,kml_3,Single,19
103.9529213,1.343748047,kml_4,Single,22
103.9529821,1.343415264,kml_5,Single,46
103.9533413,1.342951154,kml_6,Single,74
103.9489782,1.372480216,kml_7,Double,100
103.9490694,1.37224202,kml_8,Double,124
103.9494219,1.373601273,kml_9,Double,150
103.9492798,1.373542819,kml_10,Double,124
103.9489701,1.371856186,kml_11,Single,408
103.945686,1.352908612,kml_12,Single,135
103.9454536,1.352713901,kml_13,Single,73
103.9453384,1.352804297,kml_14,Single,226
103.9447911,1.353994235,kml_15,Single,118
103.9447446,1.353964108,kml_16,Single,25
103.9445886,1.353716778,kml_17,Double,92
103.9459174,1.352317242,kml_18,Single,364
103.8823076,1.316196494,kml_19,Single,180
103.882892,1.316559843,kml_20,Single,148
103.8829072,1.316293618,kml_21,Double,164
103.8710364,1.311431407,kml_22,Single,42
103.8710641,1.311445797,kml_23,Single,25
103.8717657,1.311900886,kml_24,Single,41
103.8711881,1.311251748,kml_25,Double,200
103.8632838,1.307588345,kml_26,Single,20
103.8628338,1.307762836,kml_27,Single,74
103.8563537,1.300698059,kml_28,Single,20
103.8555995,1.301058728,kml_29,Single,51
103.8566861,1.298827289,kml_30,Single,80
103.6788187,1.327958164,kml_31,Single,48
103.6787427,1.327522588,kml_32,Single,20
103.6782576,1.327543054,kml_33,Single,80
103.8937179,1.318295233,kml_34,Double,48
103.8937795,1.31807038,kml_35,Single,35
103.8882951,1.308120369,kml_36,Single,34
103.8893336,1.308885741,kml_37,Single,48
103.8825648,1.306837934,kml_38,Single,10
103.8827618,1.306677386,kml_39,Single,54
103.8832414,1.306005744,kml_40,Single,70
103.8747649,1.302479773,kml_41,Single,72
103.8761058,1.303405241,kml_42,Single,21
103.8764257,1.30326133,kml_43,Single,80
103.8747127,1.302701928,kml_44,Single,8
103.8951714,1.390774434,kml_45,Single,103
103.901683,1.404273439,kml_46,Single,16
103.9020565,1.404079156,kml_47,Single,16
103.9017571,1.403992822,kml_48,Single,16
103.9016535,1.403823737,kml_49,Double,52
103.9030709,1.40598137,kml_50,Single,54
103.903066,1.40637441,kml_51,Double,48
103.9027599,1.406145071,kml_52,Single,27
103.9026634,1.406315961,kml_53,Single,165
103.9023523,1.405522694,kml_54,Single,28
103.8933526,1.383204628,kml_55,Double,34
103.8934438,1.382992815,kml_56,Double,64
103.8933312,1.382618665,kml_57,Double,70
103.8928763,1.383004522,kml_58,Double,72
103.89282,1.383277043,kml_59,Double,64
103.8920468,1.372176589,kml_60,Double,54
103.8925552,1.370313618,kml_61,Double,27
103.8930682,1.371664801,kml_62,Double,66
103.8929216,1.372105514,kml_63,Single,30
103.8931772,1.371467829,kml_64,Single,10
103.8930852,1.371940019,kml_65,Single,10
103.8919645,1.371786249,kml_66,Single,26
103.8484501,1.307332935,kml_67,Single,40
103.8492753,1.30560292,kml_68,Single,40
103.8492311,1.306943937,kml_69,Single,40
103.8394798,1.28097179,kml_70,Single,36
103.839689,1.280595837,kml_71,Single,60
103.7820545,1.282972687,kml_72,Single,80
103.8025559,1.271990128,kml_73,Single,78
103.8095466,1.270761612,kml_74,Single,80
103.8621718,1.319301451,kml_75,Single,24
103.8920461,1.372213914,kml_76,Single,40
103.8804618,1.342107769,kml_77,Double,28
103.8788428,1.343546626,kml_78,Single,20
103.8875889,1.335821442,kml_79,Single,94
103.8880723,1.33469987,kml_80,Single,36
103.8898648,1.326783251,kml_81,Single,56
103.8902012,1.325519577,kml_82,Single,66
103.8919132,1.31650096,kml_83,Double,48
103.8916214,1.317949911,kml_84,Single,64
103.893709,1.318293434,kml_85,Single,20
