ADDRESSBLO,ADDRESSBUI,ADDRESSTYP,HYPERLINK,LANDXADDRE,LANDYADDRE,NAME,PHOTOURL,ADDRESSPOS,DESCRIPTIO,ADDRESSSTR,ADDRESSFLO,INC_CRC,FMEL_UPD_D,ADDRESSUNI
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/bukit-batok-nature-park,20449.4258,36630.19,Bukit Batok Nature Park,,,Along Bukit Batok East Avenue 2 and Bukit Batok East Avenue 6,,,687BC3283CECEB71,2021/01/22,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/zhenghua-nature-park,21882.5449,38885.22,Zhenghua Nature Park,,,"Bounded by Bt Timah Expressway (BKE), BKE Slip Road to Kranji Expressway (KJE) & Dairy Farm Road",,,E879D84E9F03FC10,2021/01/22,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/dairy-farm-nature-park,21388.3,38307.4766,Dairy Farm Nature Park,,,Along Dairy Farm Road,,,D2E81816E37D78B7,2021/01/22,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/jurong-lake-gardens,16630.9316,35360.1055,Jurong Lake Gardens,,,Along Yuan Ching Road and Boon Lay Way,,,DB390E82DD9B7A6F,2021/01/22,
,,,,,,,,,Address: 50 Yuan Ching Road Singapore 618661,,,,,
,,,,29376.9434,30516.8457,The Foothills Fort Canning Park,,,"Along River Valley Road, opposite Liang Court",,,99BE2CEDB1A1BFA8,2020/02/18,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/punggol-waterway-park,35956.55,43646.52,Punggol Waterway Park,,,Along Sentul Crescent Road (Cuts through the whole of Punggol Town),,,546A6DB1EFE4DB9C,2020/02/18,
,,,,26820.8613,43047.87,Brooks Park,,,Along Springside Ave,,,174F7682F6024278,2020/02/18,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/sengkang-riverside-park,33676.4375,42369.4258,Sengkang Riverside Park,,,Anchorvale Street abutting Sungei Punggol,,,B69DD8E34A62DB2C,2020/02/18,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/sembawang-park,28392.4336,49231.0938,Sembawang Park,,,At the end of Sembawang,,,0816A6B2F3313B3E,2020/02/18,
,,,,16928.916,47334.7539,Kranji Nature Trail,,,Off Kranji Way,,,69376E14E4629E66,2020/02/18,
,,,,27573.8281,48029.7,Pebble Garden,,,Off Sembawang Road,,,2758596DB4AEE800,2020/02/18,
,,,,31163.3164,37207.6367,Mei Hwan Crescent Playground,,,Bounded by Mei Hwan Drive and Mei Hwan Crescent,,,021312435E6361A0,2020/02/18,
