SUBZONE_N,real_price
ADMIRALTY,393255.77722772275
ALEXANDRA HILL,400363.6655948553
ALJUNIED,381270.73167701863
ANAK BUKIT,599948.7747989276
BALESTIER,421755.34779750166
BANGKIT,310699.5863402062
BEDOK NORTH,303181.70361173816
BEDOK RESERVOIR,383379.24586977647
BEDOK SOUTH,355799.99565637065
BENCOOLEN,239735.1379310345
BENDEMEER,405605.30965593783
BISHAN EAST,476994.07585385226
BOON KENG,448575.66366366367
BOON LAY,311220.2684766214
BOON TECK,334628.83649635036
BRADDELL,386900.3087349398
BUANGKOK,433931.6422018349
BUGIS,493016.87272727274
BUKIT BATOK CENTRAL,370990.44739884394
BUKIT BATOK EAST,256141.37381404176
BUKIT BATOK SOUTH,475752.4515050167
BUKIT BATOK WEST,295157.92233009706
BUKIT HO SWEE,317791.0505882353
BUKIT MERAH,460037.22222222225
BUKIT PANJANG,357570.60914634145
CENTRAL,420816.9451271792
CHANGI POINT,228185.91666666666
CHENG SAN,303775.7594736842
CHINA SQUARE,315156.2948207171
CHINATOWN,397675.26666666666
CHONG BOON,295867.9936608558
CITY HALL,360103.48148148146
CLEMENTI CENTRAL,329360.98633879784
CLEMENTI NORTH,329222.10141364473
CLEMENTI WEST,270619.7004279601
CLEMENTI WOODS,361859.20467185765
COMMONWEALTH,197918.94839857653
CORONATION ROAD,392479.75925925927
CRAWFORD,332288.09271523176
DEPOT ROAD,513551.2827225131
DOVER,442812.8085585586
ELIAS,466755.696937698
EVERTON PARK,516121.16618075804
FAJAR,358719.22411242605
FARRER COURT,387977.44943820225
FARRER PARK,362356.1935483871
FRANKEL,255070.31531531533
GEYLANG BAHRU,318021.8597972973
GEYLANG EAST,369249.5887772194
GHIM MOH,352422.96446700505
GOMBAK,466633.5517241379
GUILIN,291696.2695547533
HENDERSON HILL,362876.46993318485
HILLVIEW,210304.35294117648
HOLLAND DRIVE,395313.6112804878
HONG KAH,300163.67765740305
HOUGANG CENTRAL,387641.1884218289
JALAN KAYU EAST,418498.322761194
JURONG REGIONAL CENTRE,319652.72081218276
KAKI BUKIT,359854.7375550288
KALLANG,326425.98993963783
KAMPONG BUGIS,464265.16
KAMPONG JAVA,413450.8834355828
KAMPONG TIONG BAHRU,323738.6833976834
KAMPONG UBI,318122.07068803016
KEAT HONG,382133.2478632479
KEBUN BAHRU,283836.3192612137
KEMBANGAN,403222.61930091184
KHATIB,320258.48906048905
KIM KEAT,399550.67729083664
KRANJI NORTH,431784.1722338205
LAVENDER,365756.7587131367
LIM CHU KANG,105930.77777777778
LITTLE INDIA,376346.4252873563
LORONG AH SOO,344794.78754394775
LOWER SELETAR,425348.63636363635
MACPHERSON,247139.68426966292
MARGARET DRIVE,664464.3730769231
MARINE PARADE,428734.21234240214
MARYMOUNT,473994.1575548859
MEI CHIN,388898.9320276498
MIDVIEW,404682.85093167704
MOULMEIN,382375.74074074073
NORTHLAND,274260.2814025743
PANG SUA,414707.7687595712
PASIR RIS DRIVE,450767.36755597906
PASIR RIS TOWN,528914.3749082906
PAYA LEBAR,352265.350132626
PEARL'S HILL,227564.44444444444
PEI CHUN,317291.1335311573
PENG SIANG,367528.353522054
POTONG PASIR,349002.0
REDHILL,385586.50330033
ROSYTH,329104.5789473684
SAUJANA,408808.4383116883
SEMBAWANG CENTRAL,400047.0202108963
SEMBAWANG NORTH,372292.6031553398
SEMBAWANG SPRINGS,98326.22222222222
SENGKANG TOWN CENTRE,423462.82290502795
SENJA,418380.5297741273
SERANGOON CENTRAL,391850.4672631151
SERANGOON GARDEN,327203.0357761108
SERANGOON NORTH,468039.6432291667
SHANGRI-LA,293319.04818092426
SIMEI,437156.7983237297
SINGAPORE POLYTECHNIC,702153.6785714285
SUNGEI ROAD,287227.0347826087
SUNGEI SERANGOON WEST,400115.5101694915
SUNSET WAY,553740.122754491
SZ2,472892.5909090909
SZ3,474620.377593361
SZ4,431684.44379985495
SZ5,437633.4328063241
TAI KENG,391739.9925187032
TAMAN JURONG,377018.3121611154
TAMPINES EAST,383015.5670540903
TAMPINES WEST,390072.71486722236
TANGLIN HALT,192490.70217917676
TANJONG RHU,285557.62403100776
TEBAN GARDENS,287364.15855855856
TECK WHYE,319958.58348623855
TELOK BLANGAH DRIVE,386122.18223234627
TELOK BLANGAH RISE,337597.7756232687
TELOK BLANGAH WAY,303998.7358490566
TIONG BAHRU,458067.1484257871
TIONG BAHRU STATION,663662.2282878412
TOA PAYOH CENTRAL,425367.7587548638
TOH GUAN,520743.0488215488
TOWN CENTRE,466168.0456273764
TOWNSVILLE,362807.1511528608
TRAFALGAR,372586.0406913936
TYERSALL,502497.63636363635
ULU PANDAN,178557.0975609756
UPPER THOMSON,420185.6822633297
VICTORIA,337649.0729166667
WENYA,366489.05917159765
WOODGROVE,388173.119695321
WOODLANDS EAST,365400.88441003737
WOODLANDS SOUTH,379055.9118616145
WOODLANDS WEST,300493.6703629032
YEW TEE,406899.1533333333
YIO CHU KANG,323204.12053571426
YISHUN CENTRAL,427292.2555555556
YISHUN EAST,349140.2969018933
YISHUN SOUTH,362786.9708054872
YISHUN WEST,256567.08879432624
YUHUA,322573.9078877713
YUNNAN,353123.1751022495
