,centroid,SUBZONE_N,SUBZONE_C,travel_time_to_town,distance_to_town,query_result
0,POINT (103.9479387224605 1.3720645081472438),PASIR RIS TOWN,PRSZ03,2187.0,19554.0,"{'destination_addresses': ['7VM2+GH Singapore'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '19.6 km', 'value': 19554}, 'duration': {'text': '36 mins', 'value': 2187}, 'status': 'OK'}]}], 'status': 'OK'}"
1,POINT (103.88520425576283 1.3273677702333593),MACPHERSON,GLSZ02,1642.0,8492.0,"{'destination_addresses': ['7VM2+GH Singapore'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '8.5 km', 'value': 8492}, 'duration': {'text': '27 mins', 'value': 1642}, 'status': 'OK'}]}], 'status': 'OK'}"
2,POINT (103.89835171884225 1.3169410135086135),GEYLANG EAST,GLSZ05,1644.0,8754.0,"{'destination_addresses': ['7VM2+GH Singapore'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '8.8 km', 'value': 8754}, 'duration': {'text': '27 mins', 'value': 1644}, 'status': 'OK'}]}], 'status': 'OK'}"
3,POINT (103.88359652528455 1.3144269425418387),ALJUNIED,GLSZ04,1111.0,6073.0,"{'destination_addresses': ['7VM2+GH Singapore'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '6.1 km', 'value': 6073}, 'duration': {'text': '19 mins', 'value': 1111}, 'status': 'OK'}]}], 'status': 'OK'}"
4,POINT (103.88067853356203 1.362913991815891),ROSYTH,HGSZ03,2071.0,11258.0,"{'destination_addresses': ['7VM2+GH Singapore'], 'origin_addresses': ['67 Richards Ave, Singapore 546476'], 'rows': [{'elements': [{'distance': {'text': '11.3 km', 'value': 11258}, 'duration': {'text': '35 mins', 'value': 2071}, 'status': 'OK'}]}], 'status': 'OK'}"
5,POINT (103.88663150358084 1.356838475534669),LORONG AH SOO,HGSZ04,2311.0,11532.0,"{'destination_addresses': ['7VM2+GH Singapore'], 'origin_addresses': ['51 Jln Songket, Singapore 537422'], 'rows': [{'elements': [{'distance': {'text': '11.5 km', 'value': 11532}, 'duration': {'text': '39 mins', 'value': 2311}, 'status': 'OK'}]}], 'status': 'OK'}"
6,POINT (103.88333872895522 1.3778207005963214),TRAFALGAR,HGSZ02,3319.0,17638.0,"{'destination_addresses': ['7VM2+GH Singapore'], 'origin_addresses': ['Block 915, Singapore'], 'rows': [{'elements': [{'distance': {'text': '17.6 km', 'value': 17638}, 'duration': {'text': '55 mins', 'value': 3319}, 'status': 'OK'}]}], 'status': 'OK'}"
7,POINT (103.88996544536008 1.384898717493654),TRAFALGAR,SESZ05,3648.0,17762.0,"{'destination_addresses': ['7VM2+GH Singapore'], 'origin_addresses': ['Bef Sengkang East Ave, Singapore'], 'rows': [{'elements': [{'distance': {'text': '17.8 km', 'value': 17762}, 'duration': {'text': '1 hour 1 min', 'value': 3648}, 'status': 'OK'}]}], 'status': 'OK'}"
8,POINT (103.88761475720338 1.3437760708784183),TAI KENG,HGSZ05,3107.0,14399.0,"{'destination_addresses': ['7VM2+GH Singapore'], 'origin_addresses': ['28 New Industrial Rd, Singapore 536204'], 'rows': [{'elements': [{'distance': {'text': '14.4 km', 'value': 14399}, 'duration': {'text': '52 mins', 'value': 3107}, 'status': 'OK'}]}], 'status': 'OK'}"
9,POINT (103.73883527910469 1.340421250473252),YUHUA,JESZ02,2525.0,17859.0,"{'destination_addresses': ['7VM2+GH Singapore'], 'origin_addresses': ['217A Jurong East Street 21, Block 217A, Singapore 601217'], 'rows': [{'elements': [{'distance': {'text': '17.9 km', 'value': 17859}, 'duration': {'text': '42 mins', 'value': 2525}, 'status': 'OK'}]}], 'status': 'OK'}"
