,SUBZONE_N,33,7,25,12,15,6,29,2,27,34,28,20,16,23,14,3,10,0
0,PASIR RIS TOWN,5351.0,3252.0,2606.0,3013.0,2456.0,5379.0,4564.0,3244.0,4025.0,5224.0,3737.0,3247.0,2958.0,4505.0,2126.0,2756.0,4471.0,1331.0
1,MACPHERSON,4645.0,2124.0,1767.0,3304.0,1361.0,4115.0,3936.0,2921.0,2806.0,5588.0,2169.0,2719.0,2286.0,4182.0,1133.0,2831.0,3353.0,1952.0
2,GEYLANG EAST,4628.0,2597.0,1698.0,2470.0,1381.0,4386.0,3841.0,2701.0,3426.0,4681.0,2340.0,2849.0,2415.0,3962.0,1290.0,3002.0,3524.0,2228.0
3,ALJUNIED,4095.0,2359.0,1453.0,1937.0,753.0,4303.0,3308.0,2168.0,2949.0,4148.0,2603.0,3130.0,1882.0,3429.0,960.0,3074.0,3475.0,2175.0
4,ROSYTH,4555.0,1863.0,2523.0,2815.0,2585.0,4097.0,3846.0,3046.0,2558.0,5026.0,2085.0,1362.0,1952.0,4307.0,2405.0,1679.0,3435.0,3447.0
5,LORONG AH SOO,4795.0,2103.0,2763.0,3055.0,2853.0,4337.0,4086.0,3286.0,2666.0,5266.0,2553.0,1732.0,2192.0,4547.0,2550.0,1919.0,3738.0,3165.0
6,TRAFALGAR,4863.0,2886.0,3531.0,3838.0,3861.0,4140.0,5036.0,4069.0,2708.0,6049.0,3054.0,990.0,2975.0,5330.0,3251.0,1906.0,3463.0,3385.0
7,TRAFALGAR,6132.0,3440.0,4100.0,4392.0,4282.0,5224.0,5943.0,4623.0,4230.0,6603.0,3662.0,2896.0,3529.0,5884.0,3982.0,2036.0,4177.0,4423.0
8,TAI KENG,5416.0,2795.0,3128.0,3933.0,2932.0,4844.0,5589.0,4164.0,3089.0,6144.0,3310.0,1967.0,3508.0,5425.0,2841.0,2992.0,3871.0,3085.0
9,YUHUA,2822.0,3951.0,3965.0,2391.0,3839.0,3090.0,1182.0,2382.0,4556.0,1990.0,3608.0,4727.0,3776.0,1963.0,3904.0,5027.0,3882.0,4789.0
10,TEBAN GARDENS,3266.0,4751.0,4578.0,2848.0,4296.0,3534.0,1767.0,2839.0,5000.0,1879.0,4112.0,5527.0,4352.0,2780.0,4361.0,5827.0,4326.0,5246.0
11,TOH GUAN,2783.0,3925.0,3939.0,2365.0,3813.0,3051.0,1234.0,2356.0,4517.0,3090.0,3582.0,4701.0,3750.0,2297.0,3878.0,5001.0,3843.0,4763.0
12,JURONG REGIONAL CENTRE,1762.0,2904.0,2918.0,1344.0,2792.0,2030.0,975.0,1335.0,3496.0,1736.0,2561.0,3680.0,2729.0,1276.0,2857.0,3800.0,2822.0,3742.0
13,BOON LAY,3091.0,4144.0,4158.0,2584.0,4032.0,3359.0,1679.0,2575.0,4796.0,2184.0,3801.0,4920.0,3926.0,2156.0,4097.0,5220.0,4151.0,4982.0
14,BOON LAY,3244.0,4529.0,4543.0,2969.0,4417.0,3736.0,2444.0,2960.0,5181.0,1847.0,4186.0,5305.0,4175.0,1350.0,4482.0,5605.0,4528.0,5367.0
15,CENTRAL,2917.0,3879.0,3893.0,2319.0,3767.0,3185.0,2130.0,2310.0,4531.0,1674.0,3536.0,4655.0,3704.0,1077.0,3832.0,4955.0,3977.0,4717.0
16,CENTRAL,1150.0,3684.0,3890.0,2443.0,3891.0,1869.0,1534.0,2434.0,3335.0,2953.0,3229.0,4314.0,3111.0,2375.0,3956.0,4388.0,2661.0,4841.0
17,HONG KAH,3058.0,4020.0,4034.0,2460.0,3908.0,3326.0,2092.0,2451.0,4672.0,1798.0,3677.0,4796.0,3845.0,1672.0,3973.0,5096.0,4118.0,4858.0
18,HONG KAH,2101.0,3963.0,4037.0,2463.0,3911.0,2369.0,1611.0,2454.0,3835.0,3111.0,3729.0,4814.0,3703.0,2395.0,3976.0,4888.0,3161.0,4861.0
19,WENYA,3299.0,5476.0,5490.0,3736.0,5184.0,4159.0,3524.0,3727.0,5625.0,2864.0,4953.0,6252.0,5135.0,2307.0,5249.0,6552.0,4951.0,6134.0
20,YUNNAN,3398.0,4360.0,4374.0,2800.0,4248.0,3666.0,2611.0,2791.0,5012.0,2298.0,4017.0,5136.0,4185.0,1092.0,4313.0,5436.0,4458.0,5198.0
21,TAMAN JURONG,3361.0,4323.0,4337.0,2763.0,4211.0,3629.0,2574.0,2754.0,4975.0,411.0,3980.0,5099.0,4148.0,1975.0,4276.0,5399.0,4421.0,5161.0
22,BUGIS,3378.0,1742.0,1647.0,1529.0,1537.0,3895.0,2900.0,1760.0,2541.0,3740.0,2195.0,2518.0,1019.0,3021.0,1602.0,2638.0,3067.0,2487.0
23,BALESTIER,4417.0,1282.0,2890.0,3653.0,2955.0,3677.0,3418.0,2989.0,2491.0,4926.0,2145.0,2822.0,1669.0,4207.0,2548.0,2942.0,3017.0,3185.0
24,SUNGEI ROAD,3626.0,1634.0,2234.0,2181.0,1661.0,4063.0,2917.0,2220.0,3329.0,4200.0,2519.0,2606.0,1267.0,3481.0,1797.0,2726.0,3497.0,2299.0
25,LITTLE INDIA,3445.0,1528.0,2127.0,2066.0,1941.0,3882.0,2736.0,2297.0,2528.0,4451.0,2182.0,2304.0,1086.0,3558.0,1811.0,2424.0,3271.0,2313.0
26,PEARL'S HILL,3670.0,2096.0,2307.0,1512.0,2480.0,3938.0,2883.0,1743.0,3244.0,3723.0,2898.0,2872.0,1986.0,3004.0,2545.0,2992.0,3770.0,2972.0
27,CHINA SQUARE,3792.0,1794.0,1913.0,1583.0,2185.0,4060.0,3005.0,1865.0,2706.0,3845.0,2360.0,2570.0,1592.0,3126.0,2143.0,2690.0,3232.0,2645.0
28,CHINATOWN,3577.0,1903.0,2228.0,1419.0,2147.0,3845.0,2790.0,1650.0,2911.0,3630.0,2565.0,2679.0,1632.0,2911.0,2212.0,2799.0,3437.0,2893.0
29,PASIR RIS DRIVE,6344.0,4107.0,3599.0,4006.0,3449.0,4899.0,5557.0,4237.0,4673.0,6217.0,4204.0,3265.0,4196.0,5498.0,3119.0,3043.0,4878.0,2547.0
30,ELIAS,5171.0,3706.0,3741.0,3982.0,3425.0,4321.0,5533.0,4213.0,4332.0,6193.0,3876.0,2647.0,4212.0,5474.0,3095.0,2695.0,3088.0,2300.0
